Porsha Phillips,0.3,Below Average (Q3)
Victoria Dunlap,0.3,Below Average (Q3)
Andrea Nagy,0.3,Below Average (Q3)
Kim Williams,0.3,Below Average (Q3)
Raegan Scott,0.3,Below Average (Q3)
Keitha Dickerson,0.2,Below Average (Q3)
Tonya Massaline,0.2,Below Average (Q3)
Sonia Chase,0.2,Below Average (Q3)
Nyree Roberts,0.2,Below Average (Q3)
Ta'Shia Phillips,0.2,Below Average (Q3)
Ally Malott,0.2,Below Average (Q3)
Adut Bulgak,0.2,Below Average (Q3)
Rachel Hollivay,0.2,Below Average (Q3)
Kamiah Smalls,0.2,Below Average (Q3)
Mikiah Herbert Harrigan,0.2,Below Average (Q3)
Alexis Jones,0.2,Below Average (Q3)
Saniya Chong,0.2,Below Average (Q3)
Alexis Prince,0.2,Below Average (Q3)
Amanda Thompson,0.2,Below Average (Q3)
Ashley Houts,0.2,Below Average (Q3)
Jacinta Monroe,0.2,Below Average (Q3)
Christina Wirth,0.2,Below Average (Q3)
Zane Tamane,0.2,Below Average (Q3)
Amber Jacobs,0.2,Below Average (Q3)
Toccara Williams,0.2,Below Average (Q3)
Doneeka Lewis,0.2,Below Average (Q3)
Erin Grant,0.2,Below Average (Q3)
Megan Mahoney,0.2,Below Average (Q3)
Takeisha Lewis,0.2,Below Average (Q3)
Nicole Levandusky,0.2,Below Average (Q3)
Jaclyn Johnson,0.1,Below Average (Q3)
Edniesha Curry,0.1,Below Average (Q3)
Lindsey Yamasaki,0.1,Below Average (Q3)
Marion Jones,0.1,Below Average (Q3)
Danielle Crockrom,0.1,Below Average (Q3)
Aiysha Smith,0.1,Below Average (Q3)
Jung Sun-Min,0.1,Below Average (Q3)
Zuzana Zirkova,0.1,Below Average (Q3)
Jordan Adams,0.1,Below Average (Q3)
Willnett Crockett,0.1,Below Average (Q3)
Jelena Milovanovic,0.1,Below Average (Q3)
Shannon Bobbitt,0.1,Below Average (Q3)
Jolene Anderson,0.1,Below Average (Q3)
Jennie Simms,0.1,Below Average (Q3)
JiSu Park,0.1,Below Average (Q3)
Kiara Leslie,0.1,Below Average (Q3)
DiDi Richards,0.1,Below Average (Q3)
Brittany Brewer,0.1,Below Average (Q3)
Destiny Slocum,0.1,Below Average (Q3)
Jamierra Faulkner,0.1,Below Average (Q3)
Natalie Novosel,0.1,Below Average (Q3)
Anne Marie Armstrong,0.1,Below Average (Q3)
Chucky Jeffery,0.1,Below Average (Q3)
A'dia Mathies,0.1,Below Average (Q3)
Gergana Branzova,0.1,Below Average (Q3)
Angela Jackson,0.1,Below Average (Q3)
Amanda Wilson,0.1,Below Average (Q3)
Angie Potthoff,0.1,Below Average (Q3)
Cindy Blodgett,0.1,Below Average (Q3)
Naomi Mulitauaopele,0.1,Below Average (Q3)
Olga Firsova,0.1,Below Average (Q3)
Madinah Slaise,0.1,Below Average (Q3)
Paige Sauer,0.1,Below Average (Q3)
Renee Robinson,0.1,Below Average (Q3)
Shanele Stires,0.1,Below Average (Q3)
Monique Ambers,0.1,Below Average (Q3)
Tina Nicholson,0.1,Below Average (Q3)
Catarina Pollini,0.0,Below Average (Q3)
Desiree Francis,0.0,Below Average (Q3)
Nicole Kubik,0.0,Below Average (Q3)
Jackie Moore,0.0,Below Average (Q3)
Octavia Blue,0.0,Below Average (Q3)
Chelsea Poppens,0.0,Below Average (Q3)
Lindsey Moore,0.0,Below Average (Q3)
Nikki Greene,0.0,Below Average (Q3)
Angel Goodrich,0.0,Below Average (Q3)
Kelley Cain,0.0,Below Average (Q3)
Felicia Chester,0.0,Below Average (Q3)
Julie Wojta,0.0,Below Average (Q3)
Chay Shegog,0.0,Below Average (Q3)
Leticia Romero,0.0,Below Average (Q3)
Bashaara Graves,0.0,Below Average (Q3)
Ameryst Alston,0.0,Below Average (Q3)
Jamie Weisner,0.0,Below Average (Q3)
Jillian Alleyne,0.0,Below Average (Q3)
Natasha Mack,0.0,Below Average (Q3)
Evina Westbrook,0.0,Below Average (Q3)
Hannah Sjerven,0.0,Below Average (Q3)
NaLyssa Smith,0.0,Below Average (Q3)
Queen Egbo,0.0,Below Average (Q3)
Elissa Cunane,0.0,Below Average (Q3)
Lorela Cubaj,0.0,Below Average (Q3)
Sug Sutton,0.0,Below Average (Q3)
Aleah Goodman,0.0,Below Average (Q3)
Alanna Smith,0.0,Below Average (Q3)
Anriel Howard,0.0,Below Average (Q3)
Kenisha Bell,0.0,Below Average (Q3)
Li Yueru,0.0,Below Average (Q3)
Marie Gulich,0.0,Below Average (Q3)
Imani Wright,0.0,Below Average (Q3)
Teana Muldrow,0.0,Below Average (Q3)
Feyonda Fitzgerald,0.0,Below Average (Q3)
Lanay Montgomery,0.0,Below Average (Q3)
Morenike Atunrase,0.0,Below Average (Q3)
Wanisha Smith,0.0,Below Average (Q3)
Whitney Boddie,0.0,Below Average (Q3)
Gabriela Marginean,0.0,Low (Q4)
Brittainey Raven,0.0,Low (Q4)
Rashanda McCants,0.0,Low (Q4)
Britany Miller,0.0,Low (Q4)
Megan Duffy,0.0,Low (Q4)
Ambrosia Anderson,0.0,Low (Q4)
Lauren Ervin,0.0,Low (Q4)
A'Quonesia Franklin,0.0,Low (Q4)
Charel Allen,0.0,Low (Q4)
Kamesha Hairston,0.0,Low (Q4)
Shay Doron,0.0,Low (Q4)
Tyresa Smith,0.0,Low (Q4)
Stephanie Raymond,0.0,Low (Q4)
Sonja Mallory,0.0,Low (Q4)
Courtney Coleman,0.0,Low (Q4)
Lindsay Taylor,0.0,Low (Q4)
Jennifer Smith,0.0,Low (Q4)
Jenni Benningfield,0.0,Low (Q4)
Trina Frierson,0.0,Low (Q4)
Stacy Stephens,0.0,Low (Q4)
Yolanda Paige,0.0,Low (Q4)
Jessica Brungo,0.0,Low (Q4)
LaNeishea Caufield,0.0,Low (Q4)
Angelina Wolvert,0.0,Low (Q4)
Reshea Bristol,0.0,Low (Q4)
Carolyn Moos,0.0,Low (Q4)
Michaela Pavlickova,0.0,Low (Q4)
Tamara Stocks,0.0,Low (Q4)
Jaynetta Saunders,-0.1,Low (Q4)
Levys Torres,-0.1,Low (Q4)
Jenny Mowe,-0.1,Low (Q4)
Gergana Slavtcheva,-0.1,Low (Q4)
Jill Chapman-Daily,-0.1,Low (Q4)
Davalyn Cunningham,-0.1,Low (Q4)
Amisha Carter,-0.1,Low (Q4)
Ashley Robinson,-0.1,Low (Q4)
Angelina Williams,-0.1,Low (Q4)
Cisti Greenwalt,-0.1,Low (Q4)
Cori Chambers,-0.1,Low (Q4)
Leah Rush,-0.1,Low (Q4)
Martina Weber,-0.1,Low (Q4)
Chrissy Givens,-0.1,Low (Q4)
Val Berezhynska,-0.1,Low (Q4)
Kim Smith,-0.1,Low (Q4)
Joy Cheek,-0.1,Low (Q4)
Tanae Davis-Cain,-0.1,Low (Q4)
Raigyne Louis,-0.1,Low (Q4)
Jaime Nared,-0.1,Low (Q4)
Arica Carter,-0.1,Low (Q4)
Megan Huff,-0.1,Low (Q4)
Chelsey Perry,-0.1,Low (Q4)
Kiana Williams,-0.1,Low (Q4)
Haley Gorecki,-0.1,Low (Q4)
Jocelyn Willoughby,-0.1,Low (Q4)
Khayla Pointer,-0.1,Low (Q4)
Kierstan Bell,-0.1,Low (Q4)
Rae Burrell,-0.1,Low (Q4)
Rennia Davis,-0.1,Low (Q4)
Stephanie Watts,-0.1,Low (Q4)
Gennifer Brandon,-0.1,Low (Q4)
Alex Harden,-0.1,Low (Q4)
